sentence,overall
"Hàng[0,3,p] nhận đẹp đúng như môtả, đóng gói[36,43,p] cẩnthận. Giao hàng[63,71,p] nhanh",p
"Hàng[0,3,p] nhận chuẩn như môtả, đóng gói[33,40,p] cẩnthận. Giao hàng[60,68,p] nhanh",p
"Hàng đóng gói[0,12,p] kĩlưỡng.",p
"Pin[0,2,neu] tốt",neu
"Máy mua ngay đợtđầu, sài mấy tháng rồi không có vấn đề gì",
"Giao hàng[5,8,p][0,8,p]nhanh, chuẩn hàng chính hãng",p
"vuừa mua6/11 đến 1 ngày tỉnh dậy đen ngòm màn hình[42,49,neg] nhưng vẫn kêu tiếng:(",neg
"Shipnhanh, bọc gói[11,17,p] cẩn thận",p
"Đóng gói[0,7,p] cẩnthận, giao[25,28,p] đúng hạn",p
Rất ok,
"Đã mua 4 IPhone từ TikiTrading, cái nào cũng xuấtsắc!",
"Giao hàng[0,8,p]nhanh, hành chuẩn",p
Đỉnh nhaa tiki,
"Giao hàng[0,8,neg] quá chậm&trễ, không đúng lịch hẹn",neg
"Giao hàng[0,8,neg]chậm..giá thayđổi??",neg
"hàng[0,3,neu] ok giao[17,20,p] nhanh",neu
"Tiki Giao hàng[5,13,p] siêunhanh,chuẩn. Giá[40,42,p] cựctốt, mua ngay đợt khuyến mãi được tặng kèm Adapter Anker 30W",p
"Máy[0,2,p] chính hãng nên yên tâm, rất đẹp nha",p
"Tiki đóng gói[5,12,p] cẩnthận. Hàng[31,34,p] chính hãng xịnxò. So sánh giá[71,73,p] vs các bên khác thì bên tiki đợt sale rẻ + áp mã thêm còn chưa tới 15tr 👍👍👍",p
"Máy giao[4,7,neu] đến sau 3 ngày(dự kiến lúc đầu là 7ngày), đóng gói[60,67,p] cẩnthận, bọc xốp và chống sốc[98,106,p] đầyđủ. Hộp dánseal, máy dùng đến hiện tạiok.",p
"Tốt nhất là các bác nên ra ĐMX hoặc TGDD mà mua cho nhanh và đảmbảo. Đơn hàng giá trị mà phục vụ[89,95,neg] quákém. Tiki hỗ trợ[123,128,neg] quá kém về phần xuất hóa đơn cho kháchhàng.",neg
"Màu[0,2,p] ngọt xỉu, mua cùng 1 cái màu hồng mà cái màu xanh ship ngay hômsau, màu hồng chờ thêm 2ngày. Nói chung ổn",neu
"Đóng gói[0,7,p] chắcchắn. Giao hàng[26,34,p]nhanh. Nguyên seal đầy đủ tem luôn. Lần sau lại ghémua.",p
"Máy[0,2,p] rất đẹp và rấtmượt, pin[31,33,neu] đủ dùng thôi chứ cũng không quátrâu.",neu
"Tiki giao[5,8,p] baonhanh. 3 năm ủng hộ iphone cho tiki rồi nè 😂😂",p
"Camera[0,5,p] quayphim, chụp hình[24,32,p] đẹp",p
"Giao[0,3,p]nhanh, giá[18,20,p]tốt, đây là cái iphone thứ 5 đã mua trên tiki trading",p
"Đẹp xuấtsắc,nhẹ,nhanh, tinh tế",
" Điện thoại[1,10,p] đẹpnhé! Chụp hình[28,36,p] đẹp",p
"Tuyệtvời, Tiki bán hàng rất tốt",
"Giao hàng[0,8,p] cẩnthận, sp[26,27,p] đúng môtả, giá[49,51,p] tốt",p
" sản phẩm[1,8,p] cực kỳ chất lượng, nói về hàng cao cấp thì Tiki là miễn bàn",p
Hàng Chất LượngTốt. Sẽ ủng hộ,
Rất Hài Lòng Về Sản Phẩm,
"Hàng chínhhãng, giao hàng[16,24,p]nhanh. Gia",p
"Shop chính hãng mà không xuất đượchóa đơn.[34,41,neg] Làm ăn kém quá",neg
Khghsbsbd nhjdndn kẹneheb jejneep,
"giao hàng[0,8,p] nhanh sản phẩm chất lượng",p
"Mua lúc sale được giá[18,20,p]tốt, lại còn giao[43,46,p] nhanh",p
"Hàng[0,3,neu] chínhhãng, ok",neu
" Sản phẩm[1,8,p] chất lượng",p
Chuẩn,
Tuyệtvời................!,
Rất xinh. Dùng mướt,
rất tuyệt vời,
Rất xịn xò,
Okk,
Lần đầu dùng hàng cao cấp của Samsung và cũng là lần đầu mua đồ giá trị lớn trênTiki. Mọi thứ đều rấttốt. Mình rất hàilòng. Thông tin thêm cho các bạn là đơn hàng không có ốp đi kèm nên các bạn nên sắm cùng khi mua điện thoạinhé.,
Rất đẹp và sang trọng,
Nhận hàng nguyên seal và nhanh,
"Hình ảnh xoay ngang[0,18,neu] đọc chữ tohơn, nhưng phần nội dung 1 trang sẽ chia thành 2phần, phải nhấp 2 lần mới hếttrang. Xoay dọc[124,131,neu] thì chữ đầy một trang sách nhưng đổi lại chữ khánhỏ. Tốc độ phản hồi[199,213,neg] thì có phầnchậm, ai xài MTB quen rồi thì sử dụng kindle phải làm quen với độ nhạy chuyển hình chậmnày. Đăng nhập và chuyển tải file[344,358,p] qua máy khánhanh, đọc ban đêm rấtổn, dùng chung với bao da thì máy sẽ nặng hơn 1tí, còn ko có bao thì siêunhẹ, ko sợ mỏi tay khi cầmlâu.",neu
"Quá ưngluôn. Nỗi đau khổ khi bị mất con kindle ppw4 đã mau chóng bay vèo khi nhận được emppw5. Màn hình[97,104,p] màu[116,118,p] ấm rất tuyệtvời, máy màu denim cũng rất đẹp vàsang. Shop gửi tặng cái ốp da[203,207,p] màu Denimnữa, đỉnhghê. Cám ơn shop tinh tế",p
"Rõ ràng mua Green mà gửi Denim về cho tuinhá. Ko thèm hoàn đơn nữa vì đã chờ con máy mấy ngày liềnrồi. Buồn ghêluôn. Màu[117,119,neg] ko đc nhưý. Nhg ko chấp với shopnheng. Máy[173,175,p] xịn xò ko lỗi lầm gì đọc sáng cái conmắt. Cho4* thui vì cố ts gửi màukhác. Chắc màu green hết rồi chứgì. Tui bit ngay các shop khác cũng kocòn.",neg
"Tiki giao hàng[5,13,p] khánhanh. Máy thì lần đầu mình dùng phải để lâu lâu mới đánh giá được máy có tốt haykhông. Nhưng nhìn quả giao diện[129,137,p] khá đẹp mắt và chấtlượng. Hy vọng với việc chi gần 4 củ này mình sẽ chăm chỉ đọc sách hơn thay vì ngồi lướtweb.",p
"Máy[0,2,p] gọnnhẹ, shop cho bản kid không quảng cáo và thêm bao da[60,65,p] rấtđẹp, đời này cùng cổng sạc C[97,106,p] nên rấttiện. Máy đọc rất thích đặc biệt là ngồi bus đilàm. Hai hôm nay không còn dùng điện thoại trước khi ngủ nữa mà là ôm emnày. Sẽ cố gắng thay thế thói quen xấu từ lướt điện thoại trước khi ngủ sang đọc sách trước khingủ.",p
"Hàng[0,3,p]tốt, đúng môtả, quà tặng[27,34,p] đầyđủ. Đây là lần đầu tiên mình sử dụng kindle trải nghiệm quá tuyệt khi mình có thể vừa nằm trên giường vừa đọc đượcsách, shop cũng tặng cho một cái bao danữa, mình trừ 1 sao vì bên ship[228,231,neg] chậm mất mộtngày.",p
"Sản phẩm được rao làtặng kèm bao da,[20,35,neg] nhưng thực tế ship đến khôngcó. Sau khi phản hồi thì shop đã xử lý nhanhchóng. Đánh giá lại vì thái độ phục vụ[143,157,p] tốt củashop. Về sản phẩm Kindle thì hoàn toàn hàilòng.",neu
"Rấttuyệt. Có điều nếu dùng cả bao thì hơito, cầm 1 tay đọc sẽ bịmỏi. Hình ảnh[75,77,p] sắcnét, góc nhìn[96,103,p]rộng. Dark mode rấttuyệt.",p
"Đúng như nhà sản xuất thông báo về sảnphẩm. Shop bán hàng rất nhiệttình, giao hàng[73,81,p] nhanhchóng. Mới mua và dùng cảm nhận pin[129,131,neu] chắc không được 10 tuần(vì mình và mọi người thay nhau đọc sách cảngày, chắc phải mua thêm cáinữa),",neu
"[0,-1,p]Máy[0,2,p]nhẹ, cầm nắm chắctay, đỡ mỏi tay hơn khi cầm sách Màn hình[60,67,p] đem lại trải nghiệm như đọc sách giấy Dịch vụ bán hàng[119,142,p]tốt, giá[159,161,p] cả và ưu đãi cạnh tranh",p
"Em nó đẹp lắm luônnha, hàng[23,26,p] còn nguyênseal, chữ[53,55,p] rõ ràng sắcnét. Từ lâu mình đã ước ao được tậu một bé kindlevề, nhờ shop mà giờ mình đã đc thoả nguyện 🥰🥰",p
"Hàng[0,3,neg] bị móp méo và bị ướt nhẹ khi nhậnđược. Có thể thông cảm nếu là hàng bìnhthường, nhưng là hàng điện tử thì sẽ bị ảnh hưởng đến chất lượng sảnphẩm. Thời gian giao[160,173,neg] cũng trễ hơn so với thời hạn camkết. Khá thất vọng với lần đầu tiên mua ởshop!",neg
"ưng lắm luôn cả nhàơiiii, hị hị mình rất hài lòng về sảnphẩm, đúnv là danbf cho đọcsách, nhìn dễ chịu mà ko hề mỏimắt, cực okeee",
"- Giao hàng[2,10,p]nhanh, sản phẩm[26,33,p] nguyênseal. - Minh mua bản 32GB để tỉnh thoảng đọc truyệntranh, màn hình6,8” chất lượng hiển thị[122,140,p] rấttốt. - Pin[164,166,p] rấtổn, chế độ đèn nền[186,199,p] đọc ban đêm rất dịunhẹ.",p
"Shop đóng gói[5,12,p] sản phẩm cẩnthận, có giấy tờ[43,49,p] đầyđủ, giao hàng[67,75,p]nhanh, máy[92,94,p] bản mới nên rấtđẹp, rất đáng mua nhé mọi người 😄😄😄",p
"Nhận hàng thực sự rất hài hòng vềmáy,[33,36,p] đúng như môtả, shop còn tặng cả baoda. Lần đầu mua máy đọc sách nên chưa biết gì vềnhiều, nhưng không lo vì Techmorevn tư vấn[166,171,p] rất nhiệt tình các Bácạ. Rất hài lòng về sản phẩm và cách thức chăm sóc khách hàng[247,265,p] củaTechmorevn.",p
"Vận chuyển[0,9,p] hàngnhanh. Shop tư vấn[34,39,p] nhiệttình, được lựa chọn paperwhitekids, cả màu sắc ốplưng. Cực kì hàilòng. Máy nguyên tem nguyên phụkiện. Đóng gói[157,164,p] cẩnthận.",p
"Hộp bị móp trong quá trình vận chuyển nhưng may mà máy không bịsao. Hàng chấtlượng, mình mua sau khi con Kindle 6 năm tuổi bị hư nên thíchlắm. Có điều đây là hàng có kèm quảng cáo ở màn hình locknhé, sử dụng không ảnh hưởng đến trải nghiệm nênkệ.",
"Shop tư vấn[5,10,p] nhiệttình, mình lại may mắn nhận được bản kids không có quảng cáo và có kèm bao da[96,101,p] rấtđẹp. Đã từng dùngppw3, giờ lên ppw5 thấy rất đángtiền. Cảm ơn shop",p
"Sản phẩm[0,7,neg] bị chớp đen khi thaotác, rất khóchịu. Đã liên hệ với tiki và nhà cungcấp. Tiki thì bảo là tính năng mặc định và không thực hiện đổitrả. Nhà cung cấp thì không phảnhồi. Mình đã tham khảo rất nhiều người sử dụng sản phẩm và xem trên youtube sản phẩmnày. Khi mà tắt chế độ Reading Option thì nó sẽ biếnmất. Giờ tiki bảo là mặc định vào không hỗtrợ. Sẽ không mua bất kì sản phẩm gì trên tiki nữa",neg
"Kindle ppw thì tuyệt vời khỏi bànrồi, đặc biệt bản ppw 5 này có quá nhiều nâng cấp xứng đáng để mà mình bỏ thêm gần 1 triệu nữa thay vì mua ppw4. Shop bán hàng vô cùng cótâm, đặt bản thường không có bao da nhưng shop gửi bản kid có baoda, mà lại đúng màu đen mà mình thích nữa chứ",
"Quá tuyệt vời10/10, mua 16gb đọc truyện tranh quá okluông.",
"Hàng[0,3,p] thì tốt mà nhân viên tư vấn[23,38,neg] hơikém. Tư vấn như kiểu khách biết xài mòn mỏirồi. Tra gg thấy chỉ còn chi tiếthơn. Đc tặng bao danhé.",neu
"Lần đầu tiên mua hàng điện tử kháok… Riêng có thể do khi vận chuyển[57,66,neg] hộp hàng bị móp méo vàrách, nhưng hàng vẫn được đóng gói[127,134,p] kĩ",neu
"Mình copy bằng dây cáp từ máy tính vào máy kođược, nó báo lỗi""The disk iswrite-protected"", mà tìm kiếm cách xử lý chưađược, khóc ròng",
"Chất lượng[0,9,p] rấttốt: pin[26,28,p]trâu, màn hình[44,51,p] nhiều tùy chỉnh rất dễchịu, lưu được nhiều sách rất thoảimái, shop rep tư vấn[133,138,p] nhiệttình,... Xu cái bên giao hàng[176,184,neg] làm ăn chán quá đợi 8 ngày chưa giao mình phải tự ra kho lấy 😐",p
"Đẹp, đáng mua nè, hy vọng có nó mình ko lười đọc sách nữa 😄😄😄",
"Máy[0,2,neu] đẹp xịn xò",neu
"Sản phẩm[0,7,p] còn nguyên seal chínhhãng, đầy đủ mọiphụ kiện.[53,61,p] Giao hàng[72,80,p] nhanh và gói hàng[100,107,p] cũng cẩnthận. Có thêm cảnh báo là hàng dễvỡ. Tuy không may mắn nhận được bản kid nhưng hi vọng là máy sẽ dùngbền.",p
"Quángon, lúc mình đặt là hết chương trình tặng bao darồi, nhưng ib cho shop thì shop tặng luôn cho mình 1 cái",
"Máy[0,2,p]newseal, bản kid có bao da[30,35,p] chính hãng rấtđẹp. Cảm ứng[65,71,p]mượt. Tiki hẹn 3hôm mà đã giao ngay trong ngàyrồi, anh giao hàng[136,144,p] rất nhiệt tình vuivẻ. Đáng đồng tiền bát gạo:)) nên mua mn ạ",p
"Dùngmượt, nếu nằm thì bỏ ốp ra cầm sẽ thoải mái hơnnhiều. Lưu ý các bạn muốn đọc truyện tranh thì sẽ bị lag lag vàđơ. phải tắt nguồn đi mở lại r đợi vài phút mới đọc đc tiếp",
"Rất hài lòng với dịch vụ[17,23,p] của shop ngay từ lần đầu tiên muahàng. Mua về một phát là có động lực đọc sách ngay haha",p
"Đặt sau 2 ngày nhận được máyliền. Màn hình[34,41,p] to cảm giác đọc thíchhẳn, đọc truyện tranh cũng rấtrõ. Mn nên đầu tư để đọc sách đỡ mỏi mắt",p
"Máy[0,2,neu]okie, nhưng mà khi mua không có biết rằng đây là bản có quảngcáo, hy vọng shop mô tả rõ hơn cho KH biết trước",neu
"Sản phẩm[0,7,neu] nhìn chungok, phải dùng 1 thời gian mới biết dc",neu
"Sao cái máy sạc[8,14,neg] không bao giờ đủ100% mà pin[50,52,neg] mau hết vậy nó bị gìạ, có bảo hành không",neg
"Đóng gói[0,7,neu]ổn, giao hàng[21,29,p]nhanh, nhưng do lần đầu sd chưa rành nhờ shop hướng dẫn sd từ điển mà shop ko reptn, máy ko có tiếngviệt, ko có từ điển tiếngviệt, giờ không biết tra từ điển kiểu nàoluôn.",neu
"Máy của mình được giao không có tặng kèm bao da[32,46,neu] như đã ghi trong môtả. Mình không rõ shop quên hay cốtình, nên đang cần một lời giải thích từshop.",neu
"Cảm ơn shop đã chu đáo gửi bản đặc biệt có sẵn cover nhân dịpTết. Mình may mắn vì đặt hàng vào dịpnày. Chất lượng[103,112,p] rấttốt. Chỉ một cái là nhà giao hàng[152,160,neg] hơichậm. Mình phải chờ 1tuần. Vẫn cho 5sao.",neu
"Sau khi sử dụng 1 tuần thì nhậnxét: Máy[36,38,p]mới, đọc rõchữ, đèn nền[64,70,p] dịumắt. Bạn giao hàng[93,101,p] rất nhiệttình, chuđáo. Rấtthích. Sẽ quay lại mua lầntới.",p
"Dù là hàng refurbished nhg chất lượng ok Chỉ có điều ko biết kích hoạt bảo hành như thếnào, vì đã từng mua hàng new thì có bảo hành trên hệ thống",
"Đóng gói[0,7,p]tốt, giao hàng[20,28,p] nguyênseal, máytốt, đặt màu[63,65,neg] xanh denim nhưng lại giao màugreen, vẫn hài lòng vì màu nào cũngđược.",neu
"Máy[0,2,neu] tốt Shop tư vấn[22,27,p] nhiệttình. Sẽ ủng hộ tiếp",p
"Giao hàng[0,8,p] rất nhanh Nhưng máy ko có củ sạc[44,49,neg] đikèm, lại phải đặtmua, shop nên bán kèm",neg
"màn hình[0,7,p]sáng, nắp lưng[21,28,neu] nhám nhẹ cầm rất thích tay duy có nút nguồn để chínhgiữa, mình hay đặt vào giá đỡ điện thoại để đọc nên hay bị tắt màn hình do đè phải nút nguồn",neu
"tốt, dùng rấtêm, có đều hơn lớn so vớimình. Máy bền",
"- Giá[2,4,neg] hơi cao(do thấy nhiều đánh giá tốt nên mualuôn) tuy nhiên khi nhận thì là bản kid có tặng kèm baoda, nên cũng tạmổn! - Check thông tin[141,149,p]& serialok! - Support nhiệttình!",neu
"dùng thử một thời gian rồi mớihốt. máy[35,37,p] đọcêm, đóng gói[55,62,p]kỹ, shipper dth",p
"Mọi thứổn, nên mua thêm 1 cái ủng hộ",
"Shop đóng gói[5,12,p] cẩnthận, giao[31,34,p]nhanh, máy[51,53,p] mới100%. Sẽ tiếp tục ủng hỗ shop lần sau",p
Đúng là có kindle xong mình hạn chế cầm điện thoạihẳn. Đêm đọc sách trước lúc ngủ cảm giác thật tuyệt,
"Sản phẩm được giao[14,17,p]nhanh, đóng gói[34,41,p] cẩn thận(có bọc chống sốc và hộp chắcchắn), phụ kiện[96,103,p] đầyđủ. Cảm ơn shop và mong shop tiếp tục phát huy 🥰",p
"Bao bì[0,5,neg] hơi xấuchút, máy bên trong[29,41,p] thì ngonlành, giá[66,68,p]tốt, dc tặng cover khá đẹp 😄",p
"Đóng gói[0,7,p] rất cẩn thận và mình vô cùng hài lòng vì ngày dự kiến 1 tuần sau nhưng qua đến hôm thứ 3 đã nhậnđược. Máy[118,120,p] dễ dùng và mình đã thực sự nghiện Kindle rồiạ.",p
"Mới sử dụng được vàingày, cảm thấyok, đọc trong tối không đaumắt,",
"Hình ảnh[0,7,p]đẹp,đọc không bị mỏi mắt",p
"Sản phẩm[0,7,p] chất lượngtốt, đọc rất thíchmắt, có đèn nền vàng[52,63,p] giúp đọc sách trước khi đi ngủ rất hay",p
"Máy[0,2,p]đẹp, có tặng kèmbao da,[26,32,p] dùng ổn nha",p
"Nênmua, rất tiệnlợi.",
"Shop giao hang[5,13,p] khanhanh, minh duoc giao ban AmazonKid. Cam on shop San pham xai rat mê",p
"Mình đã nhận đượchàng, nguyên hộp[23,32,p] nguyên seal nhưng không có tặng kèm bao da như các bạn đãmua.",neu
"Shop tư vấn[5,10,p] quá là nhiệt tình luôn",p
"Chất lượng[0,9,neu] kháổn, k biết liệu có bền k",neu
"Máy[0,2,p] sử dụng rấtthích, nhỏgọn, có thể mang theo đọc sách ở bất cứđâu, rất yên tâm về chất lượng sp của Kindle",p
ok luôn,
Chưa thấy phát sinh lỗi,
"Hàng được đóng gói[10,17,p]kĩ, có dán tem hàng dễ vỡ nên yên tâm",p
"máy[0,2,p]đẹp, chính hãng nguyênseal, đời này màn[46,48,p] to vs đẹp cựckì. Hết đợt khuyến mãi ko có case[101,104,neu] hơi tiếcchút.",neu
"Sp[0,1,p] tuyệt vời shop tư vấn[25,30,p] nhiệt tình Màn[52,55,p] eink đọc sách quá đẹp",p
"Máy[0,2,p] đẹp giao[15,18,p] nhanh còn tặng thêm ốp",p
" sản phẩm[1,8,p] tuyệtvời, mua sẵn luôn cảốp, giao hàng[46,54,p]nhanh, nói chung rất hài lòng với sản phẩm 😋",p
"5 sao không nói nhiều giao hàng[22,30,p] nhanh v dù không ở tp",p
"hàng giao[0,8,p] uytín. mới dùng lầnđầu. vẫn còn mòmẫm. cảm giâc sẽ tiện lợi về lâdài. mong là máy[95,97,neu] dùng ổn",p
"Sản phẩm[0,7,p]tốt, giao hàng[20,28,p]nhanh. Có kèm baoda. Shop hỗ trọ[64,69,p] nhanh và nhiệt tình",p
"Sẽ cho 5 sao nếu giao đúngmàu.[26,29,neu] Nhưng dù sao thì shop[59,62,p] giao nhanh",neu
"Máy[0,2,p] nguyênseal, mà máy mình là bản ads hả? Mình k thấy mô tả",neu
"Quáưng, ko có gì để chê",
"Hình ảnh[0,7,p] rõ nét xem rấtthích. Tuy nhiên máy[47,49,neu] ko nhanh như iphoneđược. Đọc sách[87,94,p] thì rất OK",p
"được shop gửi cho bản kid có bao da[29,34,p] xịn máy đẹp chưa có gì đểchê, tốc độ[75,80,neu] cũng k phải quánhanh. được cái có typec, đèn vàng",neu
"Sản phẩm[0,7,neu]ok. mình dùng đc khoảng 3 tuần thấy không có gìchê. bị cái case[76,79,neg] tặng kèm bị đổ lông nên trừ 1sao, chứ còn lại ko có j chê",neu
"Hàng[0,3,neu]ok, không bị vấn đề gìhết. Quá ổn áp",neu
Lúc đầu sẽ giật lácnhé. Khởi động lại vài lần sẽ hết,
"Đã nhận đchàng, gói[16,18,p] cẩnthận, tiện đọc buổi tối vì chỉnh được độ ấm và ánh sáng nên kháthích. Hàng giao[102,110,p]nhanh.",p
"rất hợp nhu cầu củamình, dễ sửdụng, Amazon hỗ trợtốt. nên mua bản cho kid để có thêm bao da và adfree. Amazon kid ko available tại ViệtNam. Chỉ có điểm trừ này thôi",
"Hàng[0,3,p] nguyênseal, đóng gói[24,31,p] cẩnthận. Giấy tờ bảo hành[51,66,p] đầyđủ. Rất hàilòng.",p
"Máy[0,2,p] mới đẹp và đúnghàng, mình nhận được bảnkid. Shop gói hàng[60,67,p] cẩn thậnlắm, cám ơnạ!",p
"Ngồi xuống đây t review chi tiết cho các bácnè. T dùng máy[55,57,p] khoảng 10 ngày nayrồi, dùng khá mượt và không có vấn đề gìcả, t có cập nhật lên iOS17.5.1luon. Trading giao hàng[171,179,p] điện tử giá[200,202,neg] trị cao oke thực sựluôn, liên tục cập nhật tình trạngđơn, giao đúng trong vòng 2h lun(t ở HN nên chọnNow), trước khi giao còn gửi OTP nhận hàng vào sđt và mail vì t thanh toántrước. Ngoại trừ việc cam[401,403,neu] 11 thường hơi vàng thì t rấtưng, k có vấn đề gìcả, vừa mở máy lên là bảo hành auto đc kíchhoạt. Ốp và củ sạc t muangoài, thấy hãng sạc này hơi lạ nhưng t dùng cũng oke k nóng máylắm, thấy các bác rcm Anker nhưng t lỡ mua củ sạc kiarui. À có hơi tiếc là hôm đấy t đang cần gấp nên mua giá cao hơn còn nay thấy sale mấy trăm k lận hờiquá.",neu
"Đợt này mua tặng 2 cây trắng đen nhưng quên chụp lại câytrắng. Mọi người xem đỡ cây đennha. Cũng y chang sản xuất2***GB mới nguyênseal. Giờ kiếm đỏ mắt ko thấy shop nào bán chính hãng mà 2023đâu, ngay cả Apple storeVN. Mấy đợt trước mua 12- 13- 14 Tiki cũng uy tín nhưvầy. Không lỗi trầy mópméo, màn hình[296,303,p] kođốm.",neu
"Đợt này mua tặng 2 cây trắng(giao từHanoi) đen(giao từSaigon) nhưng quên chụp lại câytrắng. Mọi người xem đỡ cây đennha. Cũng y chang sản xuất2***GB mới nguyênseal. Giờ kiếm đỏ mắt ko thấy shop nào bán chính hãng mà 2023đâu, ngay cả Apple storeVN. Mấy đợt trước mua 12- 13- 14 Tiki cũng uy tín nhưvầy. Không lỗi trầy mópméo, màn hình[325,332,p] kođốm.",neu
"5* cho máy[7,9,p] còn nguyênseal, hàng chính hãngVN/A, mới100% như tiki camkết, nhưng1* cho thái độ bạn đigiao hàng,[106,115,neg] mình đặttikinow, lúc giao bạn này tỏ vẻ rất khóchịu, nói chuyện cọccằn, bạn hỏi sao địa chỉ mình xa vậy mà đặt chivậy, nếu là người khác đi giao sẽ hủyđơn, tại bạn sẵn chuyến nên đi giaoluôn, mình nói địa chỉ này tikinow hỗ trợ nên mình đặtthôi, trong khi đó mình đặt rất nhiều lầnrồi, lần nào các bạn giao cũng vuivẻ, dễchịu. Đề nghị bên Tiki check lại đơn của mình xem hôm đó ai là người đi giao và làm việc lại với bạnđó, nếu không khắc phục được tình trạng này mình sẽ không mua bên tikinửa.",neu
"Mua xài mới có 1 ngày mà đãlỗi, có cuộc gọi tới đổ chuông ko hiểnthị, sạc pin[74,76,neg][70,76,neg] thì bị nóngmáy, tuộc pin kophanh, vừa cấm sạc cái hiện lên5%. Báo trả hàng hoàn tiền thì kêu gửi về tiki kiểmtra, kiểm tra xong báo là đúng lỗi như vậy nhưng phải chờ gửi đi lên hãng kiểmđịnh. Quá rắc rối",neg
"Chất lượng sản phẩm[0,18,p] của Shop rất tốt đẹp full box chính hãng nguyên seal rất tốt tuyệtvời, Shop đóng gói[104,111,p] rất kỹđẹp, thời gian giao hàng[135,153,p] rấtnhanh, em chân thành cảm ơn Shop và Anh Shipper rất nhiều ạ💖",p
"Mình mua trả góp(chi tiết hình ảnh đínhkèm) Năm sản xuất2023. Phù hợp với tác vụ[75,80,neu] thông thường củamình, chỉ tiếc là dòng 12 trở lên mới có mở khoá ngay cả khi đeo khẩu trang(Vật Vờ Studio cũng có chỉ mẹo mở khoá IP11 khi đeo khẩutrang)",neu
"Tuyệt vời Apple đã chính thức ra mắt bộ 3 siêu phẩm iPhone11/Pro/ProMax, trong đó iPhone 11 là phiên bản tiêu chuẩn dành cho số đông có mức giá[143,145,p] rất dễchịu. Chưahết, đánh giá iPhone 11 cho thấy máy có thể hạ gục mọi đối thủAndroid. 1. Đánh giá nhanh thiết kế[264,271,neu] iPhone 11 Thiết kế iPhone 11 không khác nhiều so với các thông tin được rò rỉ trướcđó. Và điều khiến tôi thất vọng nhất trong thiết kế là mặttrước. Apple vẫn trung thành với màn hình“taithỏ”. Trong khi đó các dòng điện thoại cao cấp Android đã sử dụng màn hìnhnotch, màn hình không viền[556,574,p] vô cùng ấntượng. Ngoàira, một điểm trừ nữa trong thiết kế iPhone 11 là các cạnh viền[662,670,neg] vẫn còn rất dày tương tự iPhone XR",neu
"Hiện tôi đang bị màn hình[17,24,neg] có kẻ sọc và chuyển sang màu tối đen khi đibiển. Tôi không biết xử lý như thếnào? Trước đây dùng IPhone 8 tôi cũng mang xuống biển quay Clip có bọc túi chống nước không gặp tình trạng tươngtự.",neg
"Tiki giao hàng[10,13,p] sp là ip rấttốt. Chế độ bảo mật[32,45,p] cao đối với đơn hàng có giátrị, là khách hàng mình luôn yên tâm về hàng chuẩn chính hãng va không lo gặp hành giả như tiki đã camkết. Hàng giao nguyênđai, nguyên kiện và bảo mật cao khi đến tayKH.",p
